"DENOMINACION","tipo","regimen","localidad","LATITUD","LONGITUD"
"IES ANTONIO SEQUEROS","institut d'educació secundària","púb.","ALMORADÍ",38.107957,-0.786397
"CEIP VIRGEN DEL PILAR","col·legi d'educació infantil i primària","púb.","MONTESINOS (LOS)",38.029281,-0.742478
"IES BELLAGUARDA","institut d'educació secundària","púb.","ALTEA",38.604698,-0.045746
"CEIP LA OLLA","col·legi d'educació infantil i primària","púb.","OLLA (L')",38.617969,-0.033136
"CEIP DOCTOR CALATAYUD","col·legi d'educació infantil i primària","púb.","ASPE",38.344799,-0.763472
"CEIP LA PALOMA","col·legi d'educació infantil i primària","púb.","ASPE",38.338267,-0.767796
"CEIP PERPETUO SOCORRO","col·legi d'educació infantil i primària","púb.","ASPE",38.340066,-0.765081
"CENTRO PRIVADO VIRGEN DE LAS NIEVES","centre privat d'educació infantil, primària i secundària","priv. conc.","ASPE",38.348379,-0.766962
"IES LA NÍA","institut d'educació secundària","púb.","ASPE",38.338543,-0.767637
"CEIP ALFONSO INIESTA","col·legi d'educació infantil i primària","púb.","BANYERES DE MARIOLA",38.720878,-0.65654
"CENTRE PRIVAT FUNDACIÓN RIBERA","centre privat d'educació infantil, primària i secundària","priv. conc.","BANYERES DE MARIOLA",38.716522,-0.656781
"CEIP DIVINA AURORA","col·legi d'educació infantil i primària","púb.","BENEIXAMA",38.700449,-0.762649
"CEIP ANTONIO SEQUEROS","col·legi d'educació infantil i primària","púb.","BENEJÚZAR",38.075232,-0.835847
"CEIP ARGENTINA","col·legi d'educació infantil i primària","púb.","BENFERRI",38.144902,-0.961617
"CEIP BENICADIM","col·legi d'educació infantil i primària","púb.","BENIARBEIG",38.820272,-0.009236
"CEIP LA PURÍSIMA","col·legi d'educació infantil i primària","púb.","BENIARDÀ",38.682839,-0.216304
"CEIP LA PENYA BLANCA","col·legi d'educació infantil i primària","púb.","BENIGEMBLA",38.755715,-0.107146
"CEIP MESTRAL","col·legi d'educació infantil i primària","púb.","BENIDOLEIG",38.790971,-0.029217
"CEIP VASCO NÚÑEZ DE BALBOA","col·legi d'educació infantil i primària","púb.","BENIDORM",38.546462,-0.135714
"CEIP LA CALA","col·legi d'educació infantil i primària","púb.","BENIDORM",38.537168,-0.159856
"CEIP LEONOR CANALEJAS","col·legi d'educació infantil i primària","púb.","BENIDORM",38.539279,-0.130288
"CENTRE PRIVAT LOPE DE VEGA","centre privat d'educació infantil, primària i secundària","priv.","BENIDORM",38.543439,-0.103021
"CENTRE PRIVAT NUESTRA SEÑORA DE LOS DOLORES","centre privat d'educació infantil, primària i secundària","priv. conc.","BENIDORM",38.53596,-0.129025
"CEP DE BENIFATO","col·legi d'educació primària","púb.","BENIFATO",38.673374,-0.229833
"CEIP SAN JAIME","col·legi d'educació infantil i primària","púb.","BENIJÓFAR",38.079645,-0.735259
"CEIP VIRGEN DE LOS DOLORES","col·legi d'educació infantil i primària","púb.","BENILLOBA",38.701462,-0.38803
"CEIP BENIMANTELL","col·legi d'educació infantil i primària","púb.","BENIMANTELL",38.677352,-0.210203
"CEIP MANUEL BRU","col·legi d'educació infantil i primària","púb.","BENISSA",38.717595,0.056605
"CEIP PADRE MELCHOR","col·legi d'educació infantil i primària","púb.","BENISSA",38.715588,0.0473
"CENTRE PRIV. ED. INF. 1ER CICLE LA PURÍSIMA","centre privat d'educació infantil de primer cicle","priv.","BENISSA",38.71695,0.053815
"CEIP SANTA MARÍA MAGDALENA","col·legi d'educació infantil i primària","púb.","POBLE NOU DE BENITATXELL (EL)",38.730757,0.140042
"CEIP MARE DE DÉU DE GRÀCIA","col·legi d'educació infantil i primària","púb.","BIAR",38.628004,-0.756683
"CEIP PENYA L'OR","col·legi d'educació infantil i primària","púb.","BOLULLA",38.674957,-0.111113
"CEIP SAN LORENZO MÁRTIR","col·legi d'educació infantil i primària","púb.","BUSOT",38.481501,-0.420179
"CEIP MEDITERRANI","col·legi d'educació infantil i primària","púb.","CALP",38.64322,0.038821
"CEIP MIRANTBÓ","col·legi d'educació infantil i primària","púb.","CALLOSA D'EN SARRIÀ",38.654776,-0.119243
"CENTRE PRIVAT ALMEDIA","centre privat d'educació infantil, primària i secundària","priv. conc.","CALLOSA D'EN SARRIÀ",38.65419,-0.123352
"CEIP PRIMO DE RIVERA","col·legi d'educació infantil i primària","púb.","CALLOSA DE SEGURA",38.124133,-0.878482
"IES VEGA BAJA","institut d'educació secundària","púb.","CALLOSA DE SEGURA",38.131856,-0.87882
"CENTRO PRIVADO LA PURISÍMA","centre privat d'educació infantil, primària i secundària","priv. conc.","CALLOSA DE SEGURA",38.127421,-0.879835
