"DENOMINACION","tipo","regimen","localidad","LATITUD","LONGITUD"
"CENTRE PRIVAT MARÍA AUXILIADORA","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.492972,-0.37346
"CENTRE PRIVAT SANTÍSIMA TRINIDAD","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.483839,-0.377355
"CENTRE PRIVAT SANTIAGO APÓSTOL MARXALENES","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.485528,-0.381281
"CENTRE PRIVAT SAN JUAN BOSCO","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.482837,-0.385723
"CEE PÚB. RUIZ JIMÉNEZ","centre d'educació especial","púb.","VALÈNCIA",39.467307,-0.326315
"CENTRE PRIVAT SALESIANOS SAN ANTONIO ABAD","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.491548,-0.373889
"CENTRE PRIVAT SAGRADA FAMILIA","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.490215,-0.357088
"CENTRE PRIVAT CLARET","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.484071,-0.361851
"CENTRE PRIVAT SAN JOSÉ DE CALASANZ","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.476146,-0.364705
"CENTRE PRIVAT SAGRADO CORAZÓN DE JESÚS -ESCLAVAS-","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.4768,-0.366418
"CENTRE PRIVAT GUADALAVIAR","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.475657,-0.355189
"CENTRE ESTRANGER COLEGIO ALEMÁN DE VALENCIA","centre docent privat estranger","priv.","VALÈNCIA",39.482065,-0.363586
"CENTRE PRIVAT PÍO XII","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.480767,-0.371475
"CENTRE PRIVAT NUESTRA SEÑORA DEL PILAR","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.476519,-0.355071
"CEIP BENIMACLET","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.486754,-0.355967
"CENTRE PRIVAT ENGEBA","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.467251,-0.352458
"CENTRE PRIVAT LA PURÍSIMA","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.461823,-0.334097
"CENTRE PRIVAT ESCUELAS PÍAS-MALVARROSA","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.481785,-0.329457
"CENTRE PRIVAT PUREZA DE MARÍA","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.46581,-0.332433
"CENTRE PRIVAT CHINER VILLARROYA","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.473047,-0.333299
"CENTRE PRIVAT TRAFALGAR","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.461478,-0.342852
"CENTRE PRIVAT SANTA ANA","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.467077,-0.354694
"CENTRE PRIVAT LA ANUNCIACIÓN","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.464099,-0.345138
"CEIP MALVA-ROSA","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.481301,-0.328785
"CEIP PROFESOR SANTIAGO GRISOLIA","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.469715,-0.341687
"CEIP EL GRAU","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.459034,-0.341424
"CENTRE PRIVAT AVE MARÍA DE PEÑARROCHA","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.4606,-0.353536
"CENTRE PRIVAT SANTIAGO APÓSTOL CABANYAL","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.474134,-0.329815
"CENTRE PRIVAT NUESTRA SEÑORA DE LOS DESAMPARADOS","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.449359,-0.333152
"CENTRE PRIVAT SANTA MAGDALENA SOFÍA","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.446745,-0.33967
"CENTRE PRIVAT SOM ESCOLA","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.471398,-0.406119
"CENTRE PRIVAT SANTA CRUZ","centre privat d'educació infantil, primària i secundària","priv. conc.","MISLATA",39.471885,-0.412103
"CENTRE PRIVAT SALGUI","centre privat d'educació infantil i primària","priv. conc.","VALÈNCIA",39.444878,-0.391264
"CEIP IVAF-LUIS FORTICH","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.453518,-0.396278
"CENTRE PRIVAT SANTA MARÍA","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.46634,-0.406513
"CENTRE PRIVAT PUREZA DE MARÍA","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.470075,-0.409606
"CENTRE PRIVAT CLARET FUENSANTA","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.465346,-0.40886
"CENTRE PRIVAT SAN MARCELINO","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.443398,-0.391552
"CENTRE PRIVAT JESÚS MARÍA-FUENSANTA","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.464679,-0.409772
"CENTRE PRIVAT NIÑO JESÚS","centre privat d'educació primària i secundària","priv. conc.","VALÈNCIA",39.489826,-0.402487
"CENTRE PRIVAT MARJO","centre privat d'educació infantil i primària","priv. conc.","VALÈNCIA",39.493088,-0.393555
"CENTRE PRIVAT SAGRADA FAMILIA","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.488186,-0.402423
"CENTRE PRIVAT MARNI","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.496176,-0.368493
"CENTRE PRIVAT SAN ROQUE","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.490943,-0.390664
"CENTRE PRIVAT ESCUELAS SAN JOSÉ (I. POLIT.)","centre privat d'educació primària i secundària","priv. conc.","VALÈNCIA",39.48687,-0.397782
"CEIP SANTA TERESA","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.478807,-0.381419
"CEIP SAN JUAN DE RIBERA","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.466307,-0.374104
"CEIP JAIME BALMES","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.46113,-0.369877
"CEIP MONTOLIVET","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.460194,-0.360328
"CEIP JESÚS","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.457933,-0.389832
"CEIP SANTO ÁNGEL DE LA GUARDA","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.450769,-0.394151
"CEIP LUIS VIVES","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.468277,-0.384809
"CEIP SECTOR AÉREO","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.467281,-0.399907
"CEIP CERVANTES","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.477103,-0.384087
"CEIP GASPAR GIL POLO","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.467265,-0.402618
"CEIP TEODORO LLORENTE","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.470218,-0.388947
"CEIP DOCTOR OLÓRIZ","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.48446,-0.380455
"CEIP TORREFIEL","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.495377,-0.37811
"CEIP MIGUEL HERNÁNDEZ","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.494723,-0.366917
"CEIP SAN FERNANDO","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.485619,-0.368289
"CEP PRIMER MARQUÉS DEL TURIA","col·legi d'educació primària","púb.","VALÈNCIA",39.472585,-0.362124
"CEIP AUSIÀS MARCH","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.450164,-0.332489
"CEIP BALLESTER FANDOS","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.479361,-0.328155
"CEIP NUESTRA SEÑORA DEL CARMEN","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.474127,-0.335849
"CEIP LES ARENES","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.467019,-0.327326
"CEIP JAUME I","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.465793,-0.341799
"CEIP SAN JOSÉ DE CALASANZ","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.45869,-0.33552
"CEIP SAN PEDRO","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.468754,-0.337378
"CEIP CAVITE-ISLA DE HIERRO","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.475318,-0.327229
"CEIP FORN D'ALCEDO","col·legi d'educació infantil i primària","púb.","HORNO DE ALCEDO",39.432369,-0.3736
"CEIP LES ARTS","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.450887,-0.36172
"CEIP PADRE MANJÓN","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.433719,-0.393891
"CEIP RODRÍGUEZ FORNOS","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.460596,-0.397015
"CEIP SALVADOR TUSET","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.491341,-0.391152
"CEIP CIUTAT ARTISTA FALLER","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.499682,-0.393271
"IES LUIS VIVES","institut d'educació secundària","púb.","VALÈNCIA",39.468231,-0.377175
"CENTRE PRIVAT FP PAX","centre privat formació professional específica","priv. conc.","VALÈNCIA",39.471997,-0.384704
"CENTRE PRIVAT FP ESCUELA PROFESIONAL XAVIER","centre privat formació professional específica","priv. conc.","VALÈNCIA",39.478131,-0.373052
"IES SAN VICENTE FERRER","institut d'educació secundària","púb.","VALÈNCIA",39.464758,-0.367725
"CENTRE PRIVAT ESCUELAS PROFESIONALES DE ARTESANOS","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.463743,-0.369346
"IES JORDI DE SANT JORDI","institut d'educació secundària","púb.","VALÈNCIA",39.452971,-0.36374
"IES JUAN DE GARAY","institut d'educació secundària","púb.","VALÈNCIA",39.454851,-0.395679
"IES CID CAMPEADOR","institut d'educació secundària","púb.","VALÈNCIA",39.465272,-0.399488
"IES JOANOT MARTORELL","institut d'educació secundària","púb.","VALÈNCIA",39.440536,-0.390365
"CENTRE PRIV. ED. INFANTIL CIUDAD JARDÍN","centre privat d'educació infantil","priv.","VALÈNCIA",39.469603,-0.344921
"IES EL CABANYAL","institut d'educació secundària","púb.","VALÈNCIA",39.474912,-0.340952
"IES BENLLIURE","institut d'educació secundària","púb.","VALÈNCIA",39.483104,-0.369941
"CENTRE PRIVAT HOGAR NUESTRA SEÑORA DEL ROSARIO","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.465172,-0.332508
"IES ISABEL DE VILLENA","institut d'educació secundària","púb.","VALÈNCIA",39.478593,-0.325695
"IES SOROLLA","institut d'educació secundària","púb.","VALÈNCIA",39.467694,-0.33887
"CIPFP VICENTE BLASCO IBÁÑEZ","centre integrat públic de formació professional","púb.","VALÈNCIA",39.463646,-0.3681
"CENTRE PRIVAT SALESIANOS-SAN JUAN BOSCO","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.453559,-0.370188
"CONSERVATORI SUPERIOR DE MÚSICA JOAQUÍN RODRIGO","conservatori superior de música","púb.","VALÈNCIA",39.452765,-0.358213
"ESCOLA OFICIAL IDIOMES VALÈNCIA-SAÏDIA","escola oficial d'idiomes","púb.","VALÈNCIA",39.482895,-0.381464
"ESCOLA D'ART I SUPERIOR DE DISSENY DE VALENCIA","escola d'art i superior de disseny","púb.","VALÈNCIA",39.474705,-0.382789
"CEIP RAQUEL PAYA","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.466489,-0.402598
"CEIP ALMUDENA MUÑOZ","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.455108,-0.361709
"CEIP FAUSTO MARTÍNEZ","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.445197,-0.389011
"CEIP JOSÉ SOTO MICÓ","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.450568,-0.39048
"CEIP SARA FERNÁNDEZ","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.446078,-0.39171
"CEIP 8 DE MARÇ","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.464885,-0.395878
"CEIP VICENTE BLASCO IBÁÑEZ","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.479707,-0.325567
"CEIP DOCTOR BARCIA GOYANES","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.470308,-0.396007
"CEIP VIVERS","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.483574,-0.367763
"CEIP LA FONTETA","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.444499,-0.365144
"CENTRE PRIV. ED. INF. 1ER CICLE BAMBY-ABADE","centre privat d'educació infantil de primer cicle","priv.","VALÈNCIA",39.472469,-0.361025
"CENTRE PRIV. ED. INF. 1ER CICLE SANTA KLAUS","centre privat d'educació infantil de primer cicle","priv.","VALÈNCIA",39.480722,-0.364301
"CENTRE PRIVAT AULA 3","centre privat d'educació secundària","priv.","VALÈNCIA",39.476179,-0.361229
"CENTRE PRIVAT FP CIUTAT VELLA","centre privat formació professional específica","priv. conc.","VALÈNCIA",39.476817,-0.383041
"CEIP RAMÓN MARTÍ SORIANO","col·legi d'educació infantil i primària","púb.","VALLADA",38.897329,-0.692189
"CEIP MAESTRO VICTORIO MONTES","col·legi d'educació infantil i primària","púb.","VENTA DEL MORO",39.484228,-1.358174
"CEIP VERGE DE LA FONT","col·legi d'educació infantil i primària","púb.","VILALLONGA",38.886289,-0.202689
"CENTRE PRIVAT SANTA ANA","centre privat d'educació infantil, primària i secundària","priv. conc.","VILALLONGA",38.883496,-0.204433
"CENTRE PRIVAT SAN FRANCISCO Y SANTO DOMINGO","centre privat d'educació infantil, primària i secundària","priv. conc.","VILAMARXANT",39.568671,-0.621876
"CEIP HORTA MAJOR","col·legi d'educació infantil i primària","púb.","VILAMARXANT",39.57102,-0.623131
"CENTRE PRIVAT SANTO DOMINGO","centre privat d'educació infantil, primària i secundària","priv. conc.","CASTELLÓ",39.07581,-0.511819
"CENTRE PRIVAT HERNÁNDEZ","centre privat d'educació infantil, primària i secundària","priv. conc.","CASTELLÓ",39.074718,-0.514587
"CEIP SEVERÍ TORRES","col·legi d'educació infantil i primària","púb.","CASTELLÓ",39.078299,-0.516262
"CEIP FABIÁN Y FUERO","col·legi d'educació infantil i primària","púb.","VILLAR DEL ARZOBISPO",39.735665,-0.827268
"IES LA SERRANÍA","institut d'educació secundària","púb.","VILLAR DEL ARZOBISPO",39.736292,-0.826364
"CENTRE PRIVAT SANTA JOAQUINA DE VEDRUNA","centre privat d'educació infantil, primària i secundària","priv. conc.","VINALESA",39.537803,-0.368702
"CEIP JOSÉ BLAT GIMENO","col·legi d'educació infantil i primària","púb.","VINALESA",39.539118,-0.370477
"CEIP PINTOR SOROLLA","col·legi d'educació infantil i primària","púb.","YÁTOVA",39.384629,-0.805775
"CENTRE PRIVAT SANTA TERESA DE JESÚS","centre privat d'educació infantil, primària i secundària","priv. conc.","MONTE VEDAT",39.428234,-0.483362
"CEIP JOAN FUSTER","col·legi d'educació infantil i primària","púb.","MANISES",39.486605,-0.45368
"CENTRE PRIVAT ARGOS","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.497525,-0.399113
"IES FONT DE SANT LLUÍS","institut d'educació secundària","púb.","VALÈNCIA",39.454122,-0.364069
"CENTRE PRIVAT FP INS. INTER IV","centre privat formació professional específica","priv.","VALÈNCIA",39.461818,-0.38155
"CEIP JAIME I EL CONQUISTADOR","col·legi d'educació infantil i primària","púb.","PATERNA",39.508896,-0.43608
"CENTRE ESTRANGER LYCÉE FRANÇAIS INTERNATIONAL DE VALENCE","centre docent privat estranger","priv.","PATERNA",39.518938,-0.43518
"CEIP VILA D'ALAQUÀS","col·legi d'educació infantil i primària","púb.","ALAQUÀS",39.457405,-0.462244
"CEIP EL POUET-NUESTRA SEÑORA DE LOS DESAMPARADOS","col·legi d'educació infantil i primària","púb.","BURJASSOT",39.504964,-0.403463
"CEIP NICOLAU PRIMITIU GÓMEZ SERRANO","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.45442,-0.403366
"CEIP 9 D'OCTUBRE","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.473931,-0.398183
"CEIP TRULLÁS","col·legi d'educació infantil i primària","púb.","BENIFAIÓ",39.278926,-0.426407
"CEIP SAN ANTONIO DEL MAR","col·legi d'educació infantil i primària","púb.","CULLERA",39.164923,-0.245883
"IES LA PATACONA","institut d'educació secundària","púb.","ALBORAIA",39.493278,-0.3265
"CEIP MAESTRO SERRANO - MARÍA MOLINER","col·legi d'educació infantil i primària","púb.","MISLATA",39.471999,-0.420082
"CEIP LUIS VIVES","col·legi d'educació infantil i primària","púb.","SILLA",39.361511,-0.40901
"CEIP JOAN XXIII","col·legi d'educació infantil i primària","púb.","GRAU I PLATJA",38.993101,-0.161818
"CEIP JOSÉ MARÍA OLTRA","col·legi d'educació infantil i primària","púb.","MONCADA",39.548877,-0.394344
"CEIP ERES ALTES","col·legi d'educació infantil i primària","púb.","RIBA-ROJA DE TÚRIA",39.547409,-0.563827
"CEE PRIV. KOYNOS","centre privat d'educació especial","priv. conc.","GODELLA",39.523632,-0.413575
"CEIP VICENTE BLASCO IBÁÑEZ","col·legi d'educació infantil i primària","púb.","ALGINET",39.257263,-0.471092
"CEIP PINEDO","col·legi d'educació infantil i primària","púb.","PINEDO",39.422116,-0.335341
"CEIP VICENTE BLASCO IBÁÑEZ","col·legi d'educació infantil i primària","púb.","ALDAIA",39.471931,-0.460632
"CEIP PLATERO Y YO","col·legi d'educació infantil i primària","púb.","ALDAIA",39.464381,-0.458572
"CEIP CARME MIQUEL","col·legi d'educació infantil i primària","púb.","ALGEMESÍ",39.193341,-0.444539
"CEIP LLUÍS VIVES","col·legi d'educació infantil i primària","púb.","PAIPORTA",39.428147,-0.424397
"EI APÓSTOL SANTIAGO","escola infantil","púb.","VALÈNCIA",39.469363,-0.358257
"CEIP CAMPANAR","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.482592,-0.395875
"CEIP SANTA MARÍA DE AGUAS VIVAS","col·legi d'educació infantil i primària","púb.","BARRACA D'AIGUES VIVES",39.099202,-0.370252
"EI NIÑO JESÚS","escola infantil","púb.","VALÈNCIA",39.489859,-0.401655
"CEE PRIV. FRANCISCO ESTEVE","centre privat d'educació especial","priv. conc.","PATERNA",39.498949,-0.442908
"IES EL GRAO","institut d'educació secundària","púb.","VALÈNCIA",39.462016,-0.332175
"CEIP NUESTRA SEÑORA DEL AMPARO","col·legi d'educació infantil i primària","púb.","REAL DE GANDIA (EL)",38.945292,-0.210371
"CENTRE PRIV. ED. INFANTIL SAN PATRICIO","centre privat d'educació infantil","priv. conc.","BÉTERA",39.582366,-0.471404
"CENTRE PRIV. ED. INF. 1ER CICLE EL TREN","centre privat d'educació infantil de primer cicle","priv.","VALÈNCIA",39.486848,-0.375128
"EI LA MILOTXA","escola infantil","púb.","PUÇOL",39.61764,-0.309505
"CEIP COFRENTES","col·legi d'educació infantil i primària","púb.","COFRENTES",39.227483,-1.065088
"CENTRE PRIVAT FP ALTAVIANA","centre privat formació professional específica","priv. conc.","VALÈNCIA",39.477622,-0.356183
"CEIP JAUME I","col·legi d'educació infantil i primària","púb.","PUÇOL",39.615954,-0.312831
"CEIP PINTOR TEODORO ANDREU","col·legi d'educació infantil i primària","púb.","ALZIRA",39.154666,-0.424604
"CEIP LA FILA","col·legi d'educació infantil i primària","púb.","ALFAFAR",39.418094,-0.388373
"CIPFP FAITANAR","centre integrat públic de formació professional","púb.","QUART DE POBLET",39.479483,-0.433295
"CEIP REI EN JAUME","col·legi d'educació infantil i primària","púb.","XIRIVELLA",39.468808,-0.430039
"IES TIRANT LO BLANC","institut d'educació secundària","púb.","GANDIA",38.979512,-0.180373
"CEIP EL CRIST","col·legi d'educació infantil i primària","púb.","MELIANA",39.527216,-0.341864
"CEIP EL CID","col·legi d'educació infantil i primària","púb.","MISLATA",39.471136,-0.420753
"CEIP DOCTOR VICENTE TRENCO","col·legi d'educació infantil i primària","púb.","MONCADA",39.544559,-0.403737
"CEIP BONAVISTA","col·legi d'educació infantil i primària","púb.","ONTINYENT",38.827389,-0.614972
"CEIP JAUME I","col·legi d'educació infantil i primària","púb.","PAIPORTA",39.419403,-0.415591
"CEIP AUSIÀS MARCH","col·legi d'educació infantil i primària","púb.","PICANYA",39.435808,-0.439929
"EI 1ER CICLE EL BALADRE","escola infantil de primer cicle","púb.","PUERTO (EL)",39.670843,-0.238781
"CEIP VICTORIA Y JOAQUIN RODRIGO","col·legi d'educació infantil i primària","púb.","PUERTO (EL)",39.664806,-0.236131
"CEIP REIS CATÒLICS","col·legi d'educació infantil i primària","púb.","SILLA",39.367545,-0.40849
"CEIP ALFÀNDEC","col·legi d'educació infantil i primària","púb.","TAVERNES DE LA VALLDIGNA",39.070063,-0.262264
"CEIP LLUÍS DE SANTÀNGEL","col·legi d'educació infantil i primària","púb.","SALER (EL)",39.38222,-0.330837
"IES DISTRICTE MARÍTIM","institut d'educació secundària","púb.","VALÈNCIA",39.459672,-0.344256
"IES CAMPANAR","institut d'educació secundària","púb.","VALÈNCIA",39.48132,-0.39858
"IES VICENTE GANDIA","institut d'educació secundària","púb.","CASTELLÓ",39.073459,-0.510867
"IES FERNANDO III","institut d'educació secundària","púb.","AYORA",39.054605,-1.054536
"CEIP ANGELINA CARNICER","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.469438,-0.351359
"CEIP RAFAEL MATEU CÁMARA","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.454727,-0.379055
"CENTRE PRIVAT CONCHA ESPINA II","centre privat d'educació primària i secundària","priv. conc.","VALÈNCIA",39.453497,-0.38502
"CEIP TOMÁS DE VILLARROYA","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.449328,-0.393404
"CEIP PARE CATALÀ","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.484319,-0.355382
"CEIP AUSIÀS MARCH","col·legi d'educació infantil i primària","púb.","ALBORAIA",39.498892,-0.353923
"EI MARÍA TERESA COLOMA","escola infantil","púb.","XÀTIVA",38.993309,-0.51537
"CENTRE PRIVAT FP DANIEL MATALLÍN, SL","centre privat formació professional específica","priv.","VALÈNCIA",39.471421,-0.38487
"IES SALVADOR GADEA","institut d'educació secundària","púb.","ALDAIA",39.459581,-0.470327
"CEIP ANTONIO GARCÍA LÓPEZ","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.468286,-0.345694
"CENTRE PRIVAT VIRGEN AL PIE DE LA CRUZ","centre privat d'educació infantil, primària i secundària","priv. conc.","PUÇOL",39.619421,-0.312606
"CEIP FERNANDO DE LOS RIOS","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.453287,-0.376185
"CEIP MAESTRO SANCHIS ALMIÑANO","col·legi d'educació infantil i primària","púb.","ALAQUÀS",39.45273,-0.462327
"CEIP MARIANO BENLLIURE","col·legi d'educació infantil i primària","púb.","ALDAIA",39.461561,-0.468732
"EI RABISANCHO","escola infantil","púb.","ALFAFAR",39.41574,-0.400062
"CEIP LAS HIGUERILLAS","col·legi d'educació infantil i primària","púb.","REQUENA",39.490554,-1.095597
"CEIP AUSIÀS MARCH","col·legi d'educació infantil i primària","púb.","SAGUNT",39.684931,-0.276096
"CEE PÚB. PROFESOR SEBASTIÁN BURGOS","centre d'educació especial","púb.","VALÈNCIA",39.439623,-0.387492
"IES ENRIC SOLER I GODES","institut d'educació secundària","púb.","BENIFAIÓ",39.292445,-0.42425
"IES LA MORERIA","institut d'educació secundària","púb.","MISLATA",39.478291,-0.422463
"IES LA VALLDIGNA","institut d'educació secundària","púb.","TAVERNES DE LA VALLDIGNA",39.070167,-0.277314
"IES LA MARXADELLA","institut d'educació secundària","púb.","TORRENT",39.427311,-0.476793
"CEIP RAFAEL ALTAMIRA","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.467607,-0.413479
"CENTRE PRIVAT NUESTRA SEÑORA DEL ROSARIO","centre privat d'educació infantil, primària i secundària","priv. conc.","PATERNA",39.525929,-0.437372
"IES GONZALO ANAYA","institut d'educació secundària","púb.","XIRIVELLA",39.46155,-0.434754
"CEIP PROFESOR BARTOLOMÉ COSSIO","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.492583,-0.373278
"CEIP BATALLAR","col·legi d'educació infantil i primària","púb.","ALCÚDIA (L')",39.198825,-0.508375
"CEIP HERETATS","col·legi d'educació infantil i primària","púb.","ALCÚDIA (L')",39.195112,-0.512537
"CEIP FERNANDO DE LOS RÍOS","col·legi d'educació infantil i primària","púb.","BURJASSOT",39.513688,-0.421128
"CEIP LA CONSTITUCIÓN","col·legi d'educació infantil i primària","púb.","QUART DE POBLET",39.479864,-0.434523
"CEIP VICENTE BLASCO IBÁÑEZ","col·legi d'educació infantil i primària","púb.","CHESTE",39.497078,-0.682794
"CEIP FRANCISCO MARTÍNEZ CULLA","col·legi d'educació infantil i primària","púb.","CHIVA",39.475103,-0.722458
"CEIP JUAN MANUEL MONTOYA","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.444678,-0.33474
"CEIP VILAMAR","col·legi d'educació infantil i primària","púb.","PUERTO (EL)",39.666524,-0.215006
"CEIP MIGUEL HERNÁNDEZ","col·legi d'educació infantil i primària","púb.","TORRENT",39.431345,-0.478324
"CEIP FRANCISCO GINER DE LOS RÍOS","col·legi d'educació infantil i primària","púb.","VALÈNCIA",39.47661,-0.401355
"CEIP AUSIÀS MARCH","col·legi d'educació infantil i primària","púb.","PATERNA",39.506921,-0.437617
"CENTRE ESTRANGER HISPANO-NORTEAMERICANO, SA","centre docent privat estranger","priv.","PUÇOL",39.634993,-0.334139
"CENTRE PRIVAT SAN VICENTE FERRER","centre privat d'educació infantil, primària i secundària","priv. conc.","CULLERA",39.159164,-0.253116
"CEE PRIV. EL MOLÍ","centre privat d'educació especial","priv. conc.","VALÈNCIA",39.485669,-0.399452
"CENTRE PRIVAT VILAVELLA","centre privat d'educació infantil, primària i secundària","priv. conc.","VALÈNCIA",39.47916,-0.392761
"CENTRE PRIVAT ESCOLA GAVINA","centre privat d'educació infantil, primària i secundària","priv. conc.","PICANYA",39.44464,-0.443533
"IES 25 D'ABRIL","institut d'educació secundària","púb.","ALFAFAR",39.417886,-0.396184
"CEIP SANCHIS GUARNER","col·legi d'educació infantil i primària","púb.","PATERNA",39.507228,-0.453594
"CENTRE PRIVAT PROFESIONAL SOROLLA","centre privat d'educació secundària","priv. conc.","VALÈNCIA",39.45006,-0.379211
"CEIP COVALTA","col·legi d'educació infantil i primària","púb.","ALBAIDA",38.835713,-0.512881
"CEIP ANTONIO MACHADO","col·legi d'educació infantil i primària","púb.","XIRIVELLA",39.466539,-0.431058
"CEIP MAS DE ESCOTO","col·legi d'educació infantil i primària","púb.","RIBA-ROJA DE TÚRIA",39.550346,-0.581712
"CEP REI EN JAUME","col·legi d'educació primària","púb.","TAVERNES BLANQUES",39.503246,-0.362376
"CENTRE ENS. ARTIST. PROFESSIONALS  BARREIRA ARTE Y DISEÑO","centre aut. d'ensenyances artístiques professionals d'arts plàstiques i disseny","priv.","VALÈNCIA",39.47549,-0.389411
